Generation,Strain,Population,Prop_CNV,Multicopy_mCitrine
25,DGY1741,gln_05,0.02,2
25,DGY1743,gln_06,0.03,3
25,DGY1744,gln_07,0.01,1
33,DGY1741,gln_05,0.01,1
33,DGY1743,gln_06,0.03,3
33,DGY1744,gln_07,0.02,2
41,DGY1741,gln_05,0.01,1
41,DGY1743,gln_06,0.01,1
41,DGY1744,gln_07,0.01,1
54,DGY1741,gln_05,0.02,2
54,DGY1743,gln_06,0.02,2
54,DGY1744,gln_07,0.01,1
62,DGY1741,gln_05,0.03,3
62,DGY1743,gln_06,0.03,3
62,DGY1744,gln_07,0.03,3
70,DGY1741,gln_05,0.05,5
70,DGY1743,gln_06,0.07,7
70,DGY1744,gln_07,0.04,4
79,DGY1741,gln_05,0.15,15
79,DGY1743,gln_06,0.18,18
79,DGY1744,gln_07,0.09,9
87,DGY1741,gln_05,0.28,28
87,DGY1743,gln_06,0.37,37
87,DGY1744,gln_07,0.19,19
95,DGY1741,gln_05,0.44,44
95,DGY1743,gln_06,0.54,54
95,DGY1744,gln_07,0.32,32
103,DGY1741,gln_05,0.56,56
103,DGY1743,gln_06,0.72,72
103,DGY1744,gln_07,0.48,48
116,DGY1741,gln_05,0.69,69
116,DGY1743,gln_06,0.84,84
116,DGY1744,gln_07,0.55,55
124,DGY1741,gln_05,0.78,78
124,DGY1743,gln_06,0.89,89
124,DGY1744,gln_07,0.53,53
132,DGY1741,gln_05,0.78,78
132,DGY1743,gln_06,0.91,91
132,DGY1744,gln_07,0.44,44
145,DGY1741,gln_05,0.8,80
145,DGY1743,gln_06,0.92,92
145,DGY1744,gln_07,0.26,26
153,DGY1741,gln_05,0.74,74
153,DGY1743,gln_06,0.91,91
153,DGY1744,gln_07,0.18,18
161,DGY1741,gln_05,0.82,82
161,DGY1743,gln_06,0.93,93
161,DGY1744,gln_07,0.17,17
174,DGY1741,gln_05,0.86,86
174,DGY1743,gln_06,0.95,95
174,DGY1744,gln_07,0.2,20
182,DGY1741,gln_05,0.87,87
182,DGY1743,gln_06,0.96,96
182,DGY1744,gln_07,0.31,31
190,DGY1741,gln_05,0.86,86
190,DGY1743,gln_06,0.97,97
190,DGY1744,gln_07,0.42,42
211,DGY1741,gln_05,0.91,91
211,DGY1743,gln_06,0.97,97
211,DGY1744,gln_07,0.64,64
219,DGY1741,gln_05,0.88,88
219,DGY1743,gln_06,0.98,98
219,DGY1744,gln_07,0.49,49
232,DGY1741,gln_05,0.89,89
232,DGY1743,gln_06,0.97,97
232,DGY1744,gln_07,0.7,70
244,DGY1741,gln_05,0.93,93
244,DGY1743,gln_06,0.98,98
244,DGY1744,gln_07,0.82,82
257,DGY1741,gln_05,0.89,89
257,DGY1743,gln_06,0.75,75
257,DGY1744,gln_07,0.78,78
267,DGY1741,gln_05,0.93,93
267,DGY1743,gln_06,0.93,93
267,DGY1744,gln_07,0.83,83