Strain,DGY_name,Slope,Intercept,R_value,P_value,Std_err,CNV_Size,Copy_no,Extra_bp,CNV_cost
G_1,DGY1741,0.017078671,0.128134572,0.260508192,0.41348555,0.020015765,32138,4,128552,-26
G_2,DGY1743,-0.0018029,0.067450307,-0.069056274,0.831132758,0.008236268,189404,3,568212,-79.32
G_3,DGY1744,0.010546305,0.020210658,0.491173878,0.104889819,0.005914444,174024,3,522072,-72.7
G_4,DGY1886,-0.041026288,0.032068835,-0.564195456,0.014728843,0.015009424,135126,3,405378,-53.66
G_5,DGY1917,-0.011491823,0.001672107,-0.550551785,0.0636053,0.00551028,61681,3,185043,-32.09
G_6,DGY1883,0.064307769,0.020893936,0.838275459,0.000659677,0.013227262,45442,3,136326,-16.2
G_7,DGY1988,0.020948084,-0.025199347,0.867099956,0.000260119,0.003805586,16193,3,48579,-5.82
G_8,DGY1976,0.014073064,-0.020052925,0.572092179,0.05193505,0.006380236,16454,2,32908,-3.57
G_9,DGY1920,0.048284092,-0.016642521,0.697646978,0.011654163,0.015680113,6160,2,12320,-0.84
M_10,DGY2702,-0.017474672,0.010116825,-0.201817831,0.52934152,0.026817595,6033,3,18099,-5.02